0	2	175
0	30	35
1	16	335
1	23	155
1	25	210
2	0	175
2	3	105
2	32	50
3	2	105
3	4	140
3	14	140
4	3	140
4	5	40
4	14	190
4	16	145
4	29	120
4	41	100
5	4	40
5	6	80
5	6	140
5	42	80
6	5	140
6	5	80
6	7	140
6	42	80
7	6	140
7	8	80
8	7	80
8	9	60
8	25	40
8	44	50
9	8	60
9	10	60
9	44	60
10	9	60
10	12	140
11	12	30
11	13	60
11	28	100
12	10	140
12	11	30
13	11	60
13	45	320
13	47	145
13	48	190
13	12	75
12	13	75
14	3	140
14	4	190
14	15	75
14	16	140
15	14	75
15	16	100
15	17	120
16	1	335
16	4	145
16	14	140
16	15	100
16	17	140
17	15	120
17	16	140
17	18	100
18	17	100
18	19	245
19	18	245
19	20	60
20	19	60
20	21	60
20	22	135
21	20	60
22	20	135
23	1	155
23	24	50
24	23	50
24	28	40
24	48	70
25	1	210
25	8	40
25	27	240
26	27	60
26	28	100
27	25	240
27	26	60
28	11	100
28	24	40
28	26	100
29	4	120
29	33	175
29	41	60
30	0	35
30	31	100
30	32	170
31	30	100
32	2	50
32	30	170
32	33	105
33	29	175
33	32	105
33	34	45
33	35	45
34	33	45
35	33	45
35	36	40
35	37	70
36	35	40
37	35	70
37	38	90
38	37	90
38	39	70
39	38	70
39	40	70
40	39	70
40	41	100
40	43	230
41	4	100
41	29	60
41	40	100
42	5	80
42	6	80
43	40	230
43	44	200
43	45	200
44	8	50
44	9	60
44	43	200
45	13	320
45	43	200
45	46	70
46	45	70
47	13	145
48	13	190
48	24	70
26	11	110
11	26	110
44	46	40
46	44	40
